Субъект РФ;Численность студентов, всего человек, 2019;Численность студентов, очная форма, человек, 2019;Численность студентов очно-заочная (вечерняя) форма, человек, 2019;Численность студентов заочная форма, человек, 2019
   Белгородская область;46787;23530;687;22570
   Брянская область;23737;10903;1193;11641
   Владимирская область;26397;11272;1901;13224
   Воронежская область;85071;48514;1202;35355
   Ивановская область;24656;14950;1114;8592
   Калужская область;18588;10468;784;7336
   Костромская область;10247;5534;473;4240
   Курская область;36373;18846;579;16948
   Липецкая область;20204;10188;2525;7491
   Московская область;80972;38075;3979;38918
   Орловская область;28551;14635;1572;12344
   Рязанская область;29778;17117;1083;11578
   Смоленская область;21672;12752;822;8098
   Тамбовская область;27890;13996;1010;12884
   Тверская область;23578;14371;179;9028
   Тульская область;33520;16070;2030;15420
   Ярославская область;30646;18355;907;11384
   г.Москва;699843;466792;57486;175565
   Республика Карелия;10928;7747;119;3062
   Республика Коми;14646;7357;566;6723
   Архангельская область;17720;11656;434;5630
   Вологодская область;18358;9221;460;8677
   Калининградская область;21256;11870;417;8969
   Ленинградская область;6750;2760;243;3747
   Мурманская область;6966;3809;168;2989
   Новгородская область;8073;4886;232;2955
   Псковская область;11592;6075;146;5371
   г.Санкт-Петербург;302616;219794;11027;71795
   Ненецкий автономный округ;0;0;0;0
   Республика Адыгея;14198;8287;563;5348
   Республика Калмыкия;8850;4413;523;3914
   Краснодарский край;109182;56095;4593;48494
   Астраханская область;29938;17397;1570;10971
   Волгоградская область;58752;31601;2552;24599
   Ростовская область;133154;70469;5368;57317
   г.Севастополь;13902;9130;283;4489
   Республика Крым;36586;23511;652;12423
   Республика Дагестан;51629;25088;1408;25133
   Республика Ингушетия;7350;3601;60;3689
   Кабардино-Балкарская Республика;15255;10788;322;4145
   Карачаево-Черкесская Республика;11231;5570;192;5469
   Республика Северная Осетия - Алания;20881;13539;719;6623
   Чеченская Республика;33576;14803;2752;16021
   Ставропольский край;68688;35228;3518;29942
   Республика Башкортостан;97187;49655;3363;44169
   Республика Марий Эл;17267;10531;1009;5727
   Республика Мордовия;25461;15252;801;9408
   Республика Татарстан;143941;87243;4412;52286
   Удмуртская Республика;43388;20708;1407;21273
   Чувашская Республика;34458;16754;1916;15788
   Пермский край;54033;32026;2221;19786
   Кировская область;28911;16102;1011;11798
   Нижегородская область;83490;46965;5138;31387
   Оренбургская область;43510;22619;1006;19885
   Пензенская область;32503;18711;1789;12003
   Самарская область;94568;55142;4000;35426
   Саратовская область;73611;41980;1738;29893
   Ульяновская область;35589;19427;1928;14234
   Курганская область;14916;5617;618;8681
   Свердловская область;119384;68851;5141;45392
   Тюменская область;52791;30031;619;22141
   Челябинская область;88844;44811;2297;41736
   Ханты-Мансийский автономный округ;22685;13446;551;8688
   Ямало-Ненецкий автономный округ;570;54;63;453
   Республика Алтай;2658;1561;29;1068
   Республика Тыва;4955;2506;97;2352
   Республика Хакасия;8509;4457;267;3785
   Алтайский край;49051;29797;852;18402
   Красноярский край;68746;44794;2108;21844
   Иркутская область;66147;39751;1646;24750
   Кемеровская область;46756;25029;4147;17580
   Новосибирская область;96319;60224;2981;33114
   Омская область;75164;35678;3145;36341
   Томская область;57574;37981;2235;17358
   Республика Бурятия;20567;10367;457;9743
   Республика Саха (Якутия);23807;15091;697;8019
   Забайкальский край;22385;9713;541;12131
   Камчатский край;4597;2093;235;2269
   Приморский край;45214;33657;847;10710
   Хабаровский край;42617;23482;1293;17842
   Амурская область;14701;9152;175;5374
   Магаданская область;2724;1158;35;1531
   Сахалинская область;5988;2022;241;3725
   Еврейская автономная область;2017;1028;8;981
   Чукотский автономный округ;137;49;0;88
